start_lat,start_lon,end_lat,end_lon
1.31555,103.84497,1.31542,103.84502
1.31542,103.84502,1.31512,103.84511
1.31512,103.84511,1.31473,103.84525
1.31473,103.84525,1.31408,103.84562
1.31408,103.84562,1.31391,103.84573
1.31391,103.84573,1.31347,103.84606
1.31347,103.84606,1.31307,103.84645
1.31307,103.84645,1.31213,103.84736
1.31213,103.84736,1.3116,103.84786
1.3116,103.84786,1.31133,103.848
1.31133,103.848,1.31108,103.84806
1.31108,103.84806,1.31066,103.84806
1.31066,103.84806,1.3106,103.84805
1.3106,103.84805,1.31055,103.84799
1.31055,103.84799,1.31048,103.84796
1.31048,103.84796,1.30945,103.84754
1.30945,103.84754,1.30936,103.8475
1.30936,103.8475,1.30887,103.8473
1.30887,103.8473,1.30878,103.84726
1.30878,103.84726,1.30862,103.84723
1.30862,103.84723,1.30838,103.84726
1.30838,103.84726,1.30819,103.84734
1.30819,103.84734,1.30776,103.84775
1.30776,103.84775,1.30674,103.84888
1.30674,103.84888,1.30633,103.84936
1.30633,103.84936,1.30557,103.8503
1.30557,103.8503,1.30511,103.85089
1.30511,103.85089,1.30531,103.85106
1.30531,103.85106,1.30559,103.85123
1.30559,103.85123,1.306,103.85148
1.306,103.85148,1.30609,103.85154
1.30609,103.85154,1.30655,103.85097
1.30655,103.85097,1.30658,103.85093
start_lat,start_lon,end_lat,end_lon
1.30667,103.85082,1.30728,103.85005
1.30728,103.85005,1.30718,103.85
1.30718,103.85,1.30686,103.84983
1.30686,103.84983,1.30633,103.84936
1.30633,103.84936,1.30557,103.8503
1.30557,103.8503,1.30511,103.85089
1.30511,103.85089,1.30493,103.85106
1.30493,103.85106,1.3047,103.85157
1.3047,103.85157,1.30457,103.85183
1.30457,103.85183,1.30451,103.85196
1.30451,103.85196,1.30438,103.85223
1.30438,103.85223,1.3042,103.8526
1.3042,103.8526,1.30413,103.85287
1.30413,103.85287,1.30404,103.85311
1.30404,103.85311,1.30395,103.85328
1.30395,103.85328,1.30382,103.8535
1.30382,103.8535,1.30366,103.8537
1.30366,103.8537,1.3034,103.85403
1.3034,103.85403,1.30308,103.85382
1.30308,103.85382,1.30292,103.85366
1.30292,103.85366,1.30232,103.85317
1.30232,103.85317,1.30174,103.85269
1.30174,103.85269,1.30091,103.85201
1.30091,103.85201,1.30043,103.85162
1.30043,103.85162,1.29977,103.85107
1.29977,103.85107,1.29857,103.85006
1.29857,103.85006,1.29795,103.84954
1.29795,103.84954,1.29725,103.84893
1.29725,103.84893,1.29781,103.84827
1.29781,103.84827,1.29818,103.84783
1.29818,103.84783,1.29827,103.84768
1.29827,103.84768,1.29831,103.84756
1.29831,103.84756,1.2983,103.84742
1.2983,103.84742,1.29828,103.84729
1.29828,103.84729,1.29824,103.84723
1.29824,103.84723,1.29807,103.84705
1.29807,103.84705,1.29792,103.84686
1.29792,103.84686,1.29789,103.84677
1.29789,103.84677,1.29787,103.84669
1.29787,103.84669,1.29787,103.84649
1.29787,103.84649,1.29794,103.84616
1.29794,103.84616,1.29846,103.84448
1.29846,103.84448,1.29864,103.84396
1.29864,103.84396,1.29882,103.84369
1.29882,103.84369,1.29925,103.84305
1.29925,103.84305,1.29938,103.84285
1.29938,103.84285,1.2995,103.84259
1.2995,103.84259,1.29962,103.84234
1.29962,103.84234,1.29973,103.84182
1.29973,103.84182,1.29977,103.84163
1.29977,103.84163,1.3,103.84054
1.3,103.84054,1.30005,103.84025
1.30005,103.84025,1.30018,103.83964
1.30018,103.83964,1.30065,103.83748
1.30065,103.83748,1.3007,103.83729
1.3007,103.83729,1.30078,103.83699
1.30078,103.83699,1.30084,103.83677
1.30084,103.83677,1.3009,103.83653
1.3009,103.83653,1.30042,103.83608
1.30042,103.83608,1.30027,103.83591
1.30027,103.83591,1.30022,103.83574
1.30022,103.83574,1.30018,103.83547
1.30018,103.83547,1.30043,103.83486
1.30043,103.83486,1.30082,103.83428
1.30082,103.83428,1.30223,103.83287
1.30223,103.83287,1.30271,103.83239
1.30271,103.83239,1.30293,103.83212
1.30293,103.83212,1.30339,103.83159
1.30339,103.83159,1.30347,103.83147
start_lat,start_lon,end_lat,end_lon
1.41621,103.87258,1.41529,103.87399
1.41529,103.87399,1.41304,103.8726
1.41304,103.8726,1.41282,103.87296
1.41282,103.87296,1.4127,103.87326
1.4127,103.87326,1.41244,103.87416
1.41244,103.87416,1.41186,103.87393
1.41186,103.87393,1.41121,103.87361
1.41121,103.87361,1.4104,103.87292
1.4104,103.87292,1.41027,103.87283
1.41027,103.87283,1.41012,103.87272
1.41012,103.87272,1.40978,103.87238
1.40978,103.87238,1.40963,103.87215
1.40963,103.87215,1.40955,103.87204
1.40955,103.87204,1.40929,103.87242
1.40929,103.87242,1.40922,103.87248
1.40922,103.87248,1.40917,103.87249
1.40917,103.87249,1.40911,103.87249
1.40911,103.87249,1.40812,103.87233
1.40812,103.87233,1.40634,103.87202
1.40634,103.87202,1.40435,103.87168
1.40435,103.87168,1.4034,103.87152
1.4034,103.87152,1.40329,103.87162
1.40329,103.87162,1.40323,103.87165
1.40323,103.87165,1.40316,103.87164
1.40316,103.87164,1.40238,103.87188
1.40238,103.87188,1.4022,103.87197
1.4022,103.87197,1.40211,103.87209
1.40211,103.87209,1.40205,103.87219
1.40205,103.87219,1.40197,103.87225
1.40197,103.87225,1.40183,103.87229
1.40183,103.87229,1.40164,103.87229
1.40164,103.87229,1.40154,103.87229
1.40154,103.87229,1.40116,103.8723
1.40116,103.8723,1.40076,103.87231
1.40076,103.87231,1.40064,103.87231
1.40064,103.87231,1.40029,103.87228
1.40029,103.87228,1.4001,103.87226
1.4001,103.87226,1.39979,103.87232
1.39979,103.87232,1.39951,103.87242
1.39951,103.87242,1.3989,103.87272
1.3989,103.87272,1.39885,103.87274
1.39885,103.87274,1.39841,103.87296
1.39841,103.87296,1.3983,103.87301
1.3983,103.87301,1.39813,103.87308
1.39813,103.87308,1.3979,103.87314
1.3979,103.87314,1.39767,103.87316
1.39767,103.87316,1.3974,103.87315
1.3974,103.87315,1.39537,103.87297
1.39537,103.87297,1.39526,103.87301
1.39526,103.87301,1.39516,103.87308
1.39516,103.87308,1.3951,103.87318
1.3951,103.87318,1.39505,103.87328
1.39505,103.87328,1.39501,103.87339
1.39501,103.87339,1.39498,103.87371
1.39498,103.87371,1.39494,103.87412
1.39494,103.87412,1.39488,103.87481
1.39488,103.87481,1.39488,103.87506
1.39488,103.87506,1.39491,103.87536
1.39491,103.87536,1.39491,103.87538
1.39491,103.87538,1.39498,103.87571
1.39498,103.87571,1.39498,103.87572
1.39498,103.87572,1.395,103.87578
1.395,103.87578,1.39501,103.87585
1.39501,103.87585,1.39511,103.87626
1.39511,103.87626,1.39532,103.87715
1.39532,103.87715,1.39546,103.87772
1.39546,103.87772,1.39559,103.87828
1.39559,103.87828,1.39573,103.87888
1.39573,103.87888,1.39578,103.87908
1.39578,103.87908,1.39581,103.8793
1.39581,103.8793,1.39586,103.87957
1.39586,103.87957,1.39562,103.88092
1.39562,103.88092,1.39545,103.88191
1.39545,103.88191,1.39541,103.88218
1.39541,103.88218,1.3917,103.88219
1.3917,103.88219,1.39082,103.88361
1.39082,103.88361,1.39075,103.8837
1.39075,103.8837,1.39065,103.88383
1.39065,103.88383,1.39052,103.88409
1.39052,103.88409,1.39035,103.88432
1.39035,103.88432,1.39015,103.88465
1.39015,103.88465,1.3899,103.88505
1.3899,103.88505,1.38976,103.88528
1.38976,103.88528,1.38971,103.88537
1.38971,103.88537,1.38966,103.88545
1.38966,103.88545,1.38957,103.88558
1.38957,103.88558,1.38804,103.88801
1.38804,103.88801,1.38793,103.88819
1.38793,103.88819,1.38788,103.88825
1.38788,103.88825,1.38784,103.88833
1.38784,103.88833,1.38772,103.88852
1.38772,103.88852,1.38757,103.88873
1.38757,103.88873,1.3873,103.88915
1.3873,103.88915,1.38713,103.88949
1.38713,103.88949,1.38696,103.88987
1.38696,103.88987,1.38684,103.89016
1.38684,103.89016,1.38676,103.89041
1.38676,103.89041,1.38668,103.89067
1.38668,103.89067,1.38661,103.89095
1.38661,103.89095,1.38658,103.8912
1.38658,103.8912,1.38656,103.89133
1.38656,103.89133,1.38657,103.89144
1.38657,103.89144,1.38657,103.89155
1.38657,103.89155,1.38656,103.89183
1.38656,103.89183,1.38658,103.8922
1.38658,103.8922,1.3866,103.89238
1.3866,103.89238,1.38666,103.89285
1.38666,103.89285,1.38668,103.89346
1.38668,103.89346,1.38667,103.8937
1.38667,103.8937,1.38666,103.89385
1.38666,103.89385,1.38663,103.89386
1.38663,103.89386,1.38655,103.89381
1.38655,103.89381,1.38645,103.89379
1.38645,103.89379,1.38631,103.89375
1.38631,103.89375,1.38583,103.8936
1.38583,103.8936,1.3856,103.89352
1.3856,103.89352,1.38509,103.89336
1.38509,103.89336,1.38416,103.89318
1.38416,103.89318,1.38323,103.8931
1.38323,103.8931,1.38297,103.89308
start_lat,start_lon,end_lat,end_lon
1.34383,103.87302,1.34381,103.87334
1.34381,103.87334,1.34369,103.87334
1.34369,103.87334,1.34366,103.87373
1.34366,103.87373,1.34364,103.87416
1.34364,103.87416,1.34359,103.87461
1.34359,103.87461,1.34432,103.8764
1.34432,103.8764,1.34436,103.87661
1.34436,103.87661,1.34435,103.87693
1.34435,103.87693,1.34429,103.87717
1.34429,103.87717,1.34427,103.87727
1.34427,103.87727,1.34457,103.87738
1.34457,103.87738,1.34488,103.87749
1.34488,103.87749,1.34502,103.87713
1.34502,103.87713,1.34502,103.87706
1.34502,103.87706,1.34528,103.87704
1.34528,103.87704,1.34536,103.87722
1.34536,103.87722,1.34528,103.87704
1.34528,103.87704,1.34502,103.87706
1.34502,103.87706,1.34502,103.87713
1.34502,103.87713,1.34488,103.87749
1.34488,103.87749,1.34457,103.87738
1.34457,103.87738,1.34427,103.87727
1.34427,103.87727,1.34429,103.87717
1.34429,103.87717,1.34435,103.87693
1.34435,103.87693,1.34436,103.87661
1.34436,103.87661,1.34432,103.8764
1.34432,103.8764,1.34359,103.87461
1.34359,103.87461,1.34351,103.8741
1.34351,103.8741,1.3435,103.87366
1.3435,103.87366,1.34354,103.87202
1.34354,103.87202,1.34343,103.87155
1.34343,103.87155,1.34307,103.87073
1.34307,103.87073,1.34275,103.8699
1.34275,103.8699,1.34269,103.86961
1.34269,103.86961,1.3427,103.86933
1.3427,103.86933,1.34303,103.86844
1.34303,103.86844,1.34347,103.86758
1.34347,103.86758,1.34394,103.86634
1.34394,103.86634,1.34417,103.86585
1.34417,103.86585,1.34424,103.86548
1.34424,103.86548,1.34429,103.86513
1.34429,103.86513,1.34429,103.86474
1.34429,103.86474,1.34419,103.86426
1.34419,103.86426,1.34398,103.86359
1.34398,103.86359,1.34386,103.86342
1.34386,103.86342,1.34375,103.86323
1.34375,103.86323,1.34359,103.86274
1.34359,103.86274,1.34346,103.86208
1.34346,103.86208,1.34337,103.86162
1.34337,103.86162,1.34331,103.86131
1.34331,103.86131,1.34331,103.86102
1.34331,103.86102,1.34332,103.86064
1.34332,103.86064,1.34342,103.86042
1.34342,103.86042,1.34351,103.86017
1.34351,103.86017,1.34365,103.86002
1.34365,103.86002,1.34386,103.85995
1.34386,103.85995,1.34415,103.85987
1.34415,103.85987,1.34552,103.85941
1.34552,103.85941,1.34641,103.85918
1.34641,103.85918,1.34716,103.85901
1.34716,103.85901,1.35262,103.8571
1.35262,103.8571,1.35351,103.85688
1.35351,103.85688,1.35446,103.85678
1.35446,103.85678,1.35502,103.85676
1.35502,103.85676,1.35547,103.85676
1.35547,103.85676,1.35638,103.85685
1.35638,103.85685,1.35718,103.857
1.35718,103.857,1.35771,103.85715
1.35771,103.85715,1.35789,103.8572
1.35789,103.8572,1.35832,103.85734
1.35832,103.85734,1.36624,103.86016
1.36624,103.86016,1.36726,103.86054
1.36726,103.86054,1.36807,103.86075
1.36807,103.86075,1.36866,103.86084
1.36866,103.86084,1.36933,103.86083
1.36933,103.86083,1.36985,103.86077
1.36985,103.86077,1.37036,103.86067
1.37036,103.86067,1.37082,103.86055
1.37082,103.86055,1.3718,103.86013
1.3718,103.86013,1.37244,103.85985
1.37244,103.85985,1.37439,103.85902
1.37439,103.85902,1.37547,103.85868
1.37547,103.85868,1.37652,103.85843
1.37652,103.85843,1.37741,103.85829
1.37741,103.85829,1.37835,103.8582
1.37835,103.8582,1.37899,103.85818
1.37899,103.85818,1.37943,103.85817
1.37943,103.85817,1.3832,103.8583
1.3832,103.8583,1.38606,103.85821
1.38606,103.85821,1.38845,103.85811
1.38845,103.85811,1.38922,103.85809
1.38922,103.85809,1.38973,103.85807
1.38973,103.85807,1.39109,103.85802
1.39109,103.85802,1.39357,103.85782
1.39357,103.85782,1.39429,103.85779
1.39429,103.85779,1.39493,103.85774
1.39493,103.85774,1.39538,103.85765
1.39538,103.85765,1.39577,103.85753
1.39577,103.85753,1.3962,103.85732
1.3962,103.85732,1.39667,103.85692
1.39667,103.85692,1.39693,103.85664
1.39693,103.85664,1.39718,103.85627
1.39718,103.85627,1.39737,103.85593
1.39737,103.85593,1.3975,103.85557
1.3975,103.85557,1.39755,103.85539
1.39755,103.85539,1.3976,103.85511
1.3976,103.85511,1.39763,103.85474
1.39763,103.85474,1.39762,103.85439
1.39762,103.85439,1.39756,103.85398
1.39756,103.85398,1.3973,103.85335
1.3973,103.85335,1.39673,103.85194
1.39673,103.85194,1.39655,103.8512
1.39655,103.8512,1.39645,103.8507
1.39645,103.8507,1.39639,103.84999
1.39639,103.84999,1.39641,103.8484
1.39641,103.8484,1.39653,103.84564
1.39653,103.84564,1.39649,103.84457
1.39649,103.84457,1.39641,103.84349
1.39641,103.84349,1.39625,103.84234
1.39625,103.84234,1.39606,103.84133
1.39606,103.84133,1.39581,103.84013
1.39581,103.84013,1.3951,103.83731
1.3951,103.83731,1.39473,103.83591
1.39473,103.83591,1.39372,103.83201
1.39372,103.83201,1.39341,103.83082
1.39341,103.83082,1.39321,103.83001
1.39321,103.83001,1.39308,103.82921
